telemetry_id,vehicle_id,timestamp,latitude,longitude,speed_kmh,battery_level_pct,battery_status,harsh_braking_event
TEL-10000,VEH-CT-103,2026-08-25 23:05:03,-33.85325,151.217341,30.2,46.6,NORMAL,NO
TEL-10001,VEH-CT-104,2026-08-25 23:10:03,-33.863364,151.205946,66.3,59.2,NORMAL,NO
TEL-10002,VEH-CT-100,2026-08-25 23:15:03,-33.874897,151.208451,84.0,83.3,NORMAL,NO
TEL-10003,VEH-CT-103,2026-08-25 23:20:03,-33.873817,151.202522,25.2,37.0,LOW,NO
TEL-10004,VEH-CT-102,2026-08-25 23:25:03,-33.864984,151.203699,90.6,41.5,NORMAL,NO
TEL-10005,VEH-CT-102,2026-08-25 23:30:03,-33.858544,151.218633,82.4,99.3,NORMAL,NO
TEL-10006,VEH-CT-101,2026-08-25 23:35:03,-33.873851,151.193792,54.2,38.1,LOW,NO
TEL-10007,VEH-CT-101,2026-08-25 23:40:03,-33.862427,151.190828,83.3,52.2,NORMAL,NO
TEL-10008,VEH-CT-100,2026-08-25 23:45:03,-33.875161,151.205155,6.7,63.3,NORMAL,NO
TEL-10009,VEH-CT-101,2026-08-25 23:50:03,-33.851391,151.214457,54.4,89.4,NORMAL,NO
TEL-10010,VEH-CT-103,2026-08-25 23:55:03,-33.882953,151.212387,13.6,82.0,NORMAL,NO
TEL-10011,VEH-CT-101,2026-08-26 00:00:03,-33.864036,151.20914,55.4,85.1,NORMAL,NO
TEL-10012,VEH-CT-103,2026-08-26 00:05:03,-33.85475,151.210148,81.2,71.7,NORMAL,NO
TEL-10013,VEH-CT-102,2026-08-26 00:10:03,-33.8544,151.207034,83.5,49.4,NORMAL,NO
TEL-10014,VEH-CT-103,2026-08-26 00:15:03,-33.858552,151.212852,19.1,23.1,LOW,NO
TEL-10015,VEH-CT-101,2026-08-26 00:20:03,-33.868565,151.194112,105.5,70.3,NORMAL,NO
TEL-10016,VEH-CT-103,2026-08-26 00:25:03,-33.852325,151.190853,76.5,80.8,NORMAL,NO
TEL-10017,VEH-CT-104,2026-08-26 00:30:03,-33.866004,151.198258,79.7,45.0,NORMAL,YES
TEL-10018,VEH-CT-100,2026-08-26 00:35:03,-33.870523,151.201869,89.0,36.8,LOW,NO
TEL-10019,VEH-CT-102,2026-08-26 00:40:03,-33.876465,151.215215,100.9,62.4,NORMAL,NO
TEL-10020,VEH-CT-103,2026-08-26 00:45:03,-33.850234,151.216934,103.7,29.0,LOW,NO
TEL-10021,VEH-CT-100,2026-08-26 00:50:03,-33.856184,151.204678,40.1,76.1,NORMAL,NO
TEL-10022,VEH-CT-100,2026-08-26 00:55:03,-33.856995,151.203033,99.9,36.7,LOW,NO
TEL-10023,VEH-CT-102,2026-08-26 01:00:03,-33.855643,151.191365,85.8,84.0,NORMAL,NO
TEL-10024,VEH-CT-103,2026-08-26 01:05:03,-33.876774,151.208818,52.5,89.8,NORMAL,NO
TEL-10025,VEH-CT-103,2026-08-26 01:10:03,-33.871406,151.194227,18.9,69.4,NORMAL,NO
TEL-10026,VEH-CT-102,2026-08-26 01:15:03,-33.881733,151.191146,53.0,40.1,NORMAL,NO
TEL-10027,VEH-CT-100,2026-08-26 01:20:03,-33.853492,151.197167,90.8,77.9,NORMAL,YES
TEL-10028,VEH-CT-100,2026-08-26 01:25:03,-33.852921,151.194627,55.1,61.1,NORMAL,NO
TEL-10029,VEH-CT-103,2026-08-26 01:30:03,-33.872102,151.194645,34.2,15.0,CRITICAL,NO
TEL-10030,VEH-CT-103,2026-08-26 01:35:03,-33.880709,151.19623,3.2,68.9,NORMAL,NO
TEL-10031,VEH-CT-103,2026-08-26 01:40:03,-33.850895,151.193238,2.8,59.2,NORMAL,NO
TEL-10032,VEH-CT-103,2026-08-26 01:45:03,-33.883923,151.216056,1.5,19.8,CRITICAL,NO
TEL-10033,VEH-CT-101,2026-08-26 01:50:03,-33.866289,151.203105,40.0,87.7,NORMAL,NO
TEL-10034,VEH-CT-104,2026-08-26 01:55:03,-33.88307,151.201269,22.7,35.5,LOW,NO
TEL-10035,VEH-CT-104,2026-08-26 02:00:03,-33.871475,151.203969,17.5,73.5,NORMAL,NO
TEL-10036,VEH-CT-104,2026-08-26 02:05:03,-33.879836,151.207811,59.1,56.5,NORMAL,NO
TEL-10037,VEH-CT-103,2026-08-26 02:10:03,-33.85835,151.193545,105.2,48.1,NORMAL,YES
TEL-10038,VEH-CT-101,2026-08-26 02:15:03,-33.882518,151.196524,58.6,92.1,NORMAL,NO
TEL-10039,VEH-CT-104,2026-08-26 02:20:03,-33.85223,151.201268,2.1,32.9,LOW,NO
